frequency_hz,magnitude_db,drive_level_db
20.0,-22.67,-18.0
25.4,-24.787,-18.0
32.2,-26.195,-18.0
40.9,-27.166,-18.0
51.9,-27.642,-18.0
65.8,-27.963,-18.0
83.5,-28.113,-18.0
106.0,-28.136,-18.0
134.5,-28.066,-18.0
170.6,-27.938,-18.0
216.5,-27.675,-18.0
274.8,-27.287,-18.0
348.7,-26.772,-18.0
442.4,-26.074,-18.0
561.4,-25.232,-18.0
712.4,-24.286,-18.0
904.1,-23.26,-18.0
1147.2,-22.225,-18.0
1455.8,-21.205,-18.0
1847.3,-20.279,-18.0
2344.2,-19.459,-18.0
2974.7,-18.791,-18.0
3774.8,-18.274,-18.0
4790.1,-17.899,-18.0
6078.4,-17.634,-18.0
7713.2,-17.46,-18.0
9787.8,-17.348,-18.0
12420.3,-17.281,-18.0
15760.9,-17.252,-18.0
20000.0,-17.205,-18.0
20.0,-27.17,-12.0
25.4,-29.281,-12.0
32.2,-30.684,-12.0
40.9,-31.66,-12.0
51.9,-32.13,-12.0
65.8,-32.452,-12.0
83.5,-32.602,-12.0
106.0,-32.623,-12.0
134.5,-32.553,-12.0
170.6,-32.425,-12.0
216.5,-32.164,-12.0
274.8,-31.777,-12.0
348.7,-31.264,-12.0
442.4,-30.57,-12.0
561.4,-29.731,-12.0
712.4,-28.785,-12.0
904.1,-27.76,-12.0
1147.2,-26.724,-12.0
1455.8,-25.704,-12.0
1847.3,-24.778,-12.0
2344.2,-23.959,-12.0
2974.7,-23.291,-12.0
3774.8,-22.774,-12.0
4790.1,-22.399,-12.0
6078.4,-22.134,-12.0
7713.2,-21.96,-12.0
9787.8,-21.848,-12.0
12420.3,-21.781,-12.0
15760.9,-21.752,-12.0
20000.0,-21.705,-12.0
20.0,-31.668,-6.0
25.4,-33.771,-6.0
32.2,-35.17,-6.0
40.9,-36.149,-6.0
51.9,-36.611,-6.0
65.8,-36.934,-6.0
83.5,-37.084,-6.0
106.0,-37.102,-6.0
134.5,-37.032,-6.0
170.6,-36.902,-6.0
216.5,-36.643,-6.0
274.8,-36.258,-6.0
348.7,-35.746,-6.0
442.4,-35.056,-6.0
561.4,-34.221,-6.0
712.4,-33.279,-6.0
904.1,-32.256,-6.0
1147.2,-31.221,-6.0
1455.8,-30.201,-6.0
1847.3,-29.275,-6.0
2344.2,-28.456,-6.0
2974.7,-27.788,-6.0
3774.8,-27.271,-6.0
4790.1,-26.895,-6.0
6078.4,-26.63,-6.0
7713.2,-26.457,-6.0
9787.8,-26.344,-6.0
12420.3,-26.277,-6.0
15760.9,-26.249,-6.0
20000.0,-26.201,-6.0
20.0,-36.117,0.0
25.4,-38.213,0.0
32.2,-39.607,0.0
40.9,-40.589,0.0
51.9,-41.043,0.0
65.8,-41.364,0.0
83.5,-41.514,0.0
106.0,-41.528,0.0
134.5,-41.456,0.0
170.6,-41.323,0.0
216.5,-41.066,0.0
274.8,-40.68,0.0
348.7,-40.171,0.0
442.4,-39.486,0.0
561.4,-38.656,0.0
712.4,-37.718,0.0
904.1,-36.7,0.0
1147.2,-35.668,0.0
1455.8,-34.65,0.0
1847.3,-33.724,0.0
2344.2,-32.905,0.0
2974.7,-32.237,0.0
3774.8,-31.72,0.0
4790.1,-31.345,0.0
6078.4,-31.08,0.0
7713.2,-30.906,0.0
9787.8,-30.794,0.0
12420.3,-30.727,0.0
15760.9,-30.698,0.0
20000.0,-30.651,0.0
20.0,-38.205,3.0
25.4,-40.3,3.0
32.2,-41.692,3.0
40.9,-42.675,3.0
51.9,-43.124,3.0
65.8,-43.445,3.0
83.5,-43.593,3.0
106.0,-43.604,3.0
134.5,-43.531,3.0
170.6,-43.396,3.0
216.5,-43.139,3.0
274.8,-42.753,3.0
348.7,-42.243,3.0
442.4,-41.561,3.0
561.4,-40.734,3.0
712.4,-39.799,3.0
904.1,-38.784,3.0
1147.2,-37.755,3.0
1455.8,-36.738,3.0
1847.3,-35.813,3.0
2344.2,-34.994,3.0
2974.7,-34.326,3.0
3774.8,-33.809,3.0
4790.1,-33.434,3.0
6078.4,-33.169,3.0
7713.2,-32.995,3.0
9787.8,-32.883,3.0
12420.3,-32.816,3.0
15760.9,-32.787,3.0
20000.0,-32.74,3.0
